commercial_id,title,transcription,log_prob
2z9yTHcZk24.s8,crema talloni screpolati Dr. Scholl,Scelta i talloni screpolati ti mettono a disagio? Prova la nuova crema per talloni screpolati Dr. Scholl. Clinicamente testata in soli sette giorni rende i tuoi talloni lisci e morbidi Nuova crema per talloni screpolati Dr. Scholl. Dr. Scholl,-0.24946096573752918
310dllxOfyg,PSP - 'Whole World In Your Hands' - Spot TV Italia (2008),"You've got the whole world, the whole wide world You've got the whole world, the whole world in your hands You've got the whole world, the whole wide world in your hands You've got the whole world, the whole wide world in your hands",-0.3399347305297852
3128b82d13bb4d6d9798b4015b963da4_030,Olivetti Fotorex U-Bix Fotocopiatrice,Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice Fotorex U-Bix Fotocopiatrice,-0.5317307154337565
32871e1b0c9344ad945f2ef9fb703061_030,Bic Cristal Penna Con Eleonora Brigliadori,Ragazzi insomma... vai! La penna di cristallo con sfera diamante,-0.7951561320911754
32c3dd69ea8f40a3bff48387a5929700_030,Torre In Pietra Yogurt Con Sydne Rome,Claus Lo Bang Taos y premios Bobapp Aktas,-6.916462168974035
33ed872f3e4e49dcafa2452fcd63297a_030,Mondadori Guida Tv Periodico,"Allora ragazzi, dai, dai, cosa c'è? Allora cosa c'è? Attenzione! Con Guida Tv ogni sera è spettacolo! Guida Tv, più pagine, più foto, solo 400 euro. Allora, con Guida Tv, più pagine, più foto, solo 400 euro. Allora cosa c'è? Allora cosa c'è? Allora cosa c'è? Allora cosa c'è? Allora cosa c'è? Allora cosa c'è? Allora cosa c'è? Allora cosa c'è?",-0.602764892578125
355c61e70e3641fa84ad92e101f599c0_060,British Airways Con Joan Collins,knees Vagyis el sem menőztünk ruhában? Mit Мы Алючим? Bármian aatsu szíCh SAY Younguzzon cobára értünk át 샤이사11 Zhao mวย egy ou jelent? Egy write upinak! Sziasztok!,-4.746764183044434
35df80461187445ab1f80f3f4967b023_030,Dolma Masterfoods Raider,Raider Raider,-0.6201467514038086
36aee0a0b6e941b59aa91f918cb31165_030,Distillerie Fratelli Branca Fernet Branca,Soprattutto Fernet Branca Soprattutto Fratelli Fratelli,-0.683274659243497
36cb508bc6af48738602823fe40095f5_030,Alfa Romeo Arna,"Benvenuti in Alfa, ve lo dico con la mia nuova Arna. Costa solo 10 milioni 430 mila lire che potete pagare con un minimo anticipo e forme diverse di radeazioni a partire da 270 mila lire al mese che inizia a pagare ben tre mesi dopo l'acquisto e inoltre avrete almeno un milione per l'usato. Tutto questo presse i concessionari che espongono questo annuncio. Arna, e sei subito al pista. Sottotitoli creati dalla comunità Amara.org",-0.24230779501108024
3784bea3552043b880e0f6ff449c3eb9_030,Gordons Gin,Gin Tonic Thank you for watching!,-0.8117671012878418
37EgFL0ujQI.s10,quotidiano settimanale Amicatime,"Amore, ti ho mandato questa cassetta perché voglio... Sì? Mi stai ad ascoltare? Sono qua sotto. Volevo solo dirte che... Amica presenta Amicatime, il primo quotidiano settimanale per la donna. Da oggi, per sapere cosa è successo nella settimana, basta un attimo di tranquillità. Ci vediamo più tardi. Sottotitoli creati dalla comunità Amara.org",-0.21835940899235187
37f5e369d6fc41dab18ff4362e81cff4_030,Lorus Orologi,Bună ziua cu Lorus Voi sveleați? Opoi aici? Bună ziua cu Lorus Bună ziua cu Lorus,-0.7036452937770534
380a397c4f514be0af6a3a195c67f23a_030,Lee Cooper Lee Cooper Jeans,M boundary Cooper jeans! Lee Cooper ti sprigiona!,-3.897101720174154
3817bed087714b89b63cb49bc8a9fbd3_030,Aia Pollo,"Aia, ogni piatto una setta.",-0.8926004996666541
38ef87a22b384ecf8d209db3d1d49e0f_030,Swatch Velvet Sensation Orologi,We just need a first look at… spider web. So watch the others just watch.,-3.9045526841107536
38MxVL6foEI,Audi A4 Spot 2001 (PUB ITA),Audi A4 Spot 2001 Audi A4 Spot 2001,-0.6051758130391439
392ce4857fbc45c7a93d845f2e00bbdc_045,Perfetti Vivident,विविदं के आप प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद � यह चौइइंगाम तुट गुप्स्त यह फ्रेस्चेत्ता प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद प्रभाद �,-0.21510723537868923
395bd70bbdf545bc9587ecd7c27564b6_030,Chanel Egoiste Profumo,"Egoista Dove sei? La pagherà immiserabile Mi avrai in amica, giuro! Ti sarai inunacabile! Che artraccio! Voi! Voi che faccio! Voi! Il mio amore è tradito! Sei un millenico! Non so chi sono! Fatti vedere! Egoista! Egoista Egoista Egoista Egoista Egoista Egoista Chanel Per l'uomo",-0.38670514234855996
3bxwfxDjPdI,"Spot - PEUGEOT 206 ""Indiano"" - 2002  (HQ completo ita.)",continents Agency on cilantro,-4.785187721252441
3c3f77e6c2da4e3b9b19acdf04c93f5c_030,Motta Maxicono Bigusto,Maxicono Motta Maxicono Motta,-0.7914245923360189
3CwCoeBXNY0.s7,Renault Clio,Renault Clio,-0.8123797007969448
3d00eb83de5a42e2a2ee15561a128d77_030,Yomo Yogurt Sogg. Pubblicita Telepatica Con Beppe Grillo,Sottotitoli creati dalla comunità Amara.org Provate a uscire a comprare qualcosa altro adesso. www.amara.org,-0.4271898865699768
3d31b0ce52104bde89422bfa7aba742b_045,Averna Amaro Averna,"And夢 Amaro Averna, il gusto pieno della vita.",-4.137663269042969
3EJJapalV7Q.s9,ricambi originali Fiat-Lancia,"sapete quanti chilometri potrebbe fare la vostra auto se solo aveste la cortezza di usare sempre ricambi originali. Ricambi originali Fiat-Lancia, tanta strada in più.",-0.3076673104212834
3f4ffe5910024766be432b40324a6618_045,Campari Bitter,"Pesci music Campari, una favola moderna.",-3.6964784349714006
3f9081b851434eb0b4e4fcc81e196e05_030,Pop 84 Abbligliamento Sogg 1,Pop 84 Abbligliamento Pop 84 Vesta la Vita,-0.7023703575134277
3H0Rit4ZXz4.s2,Buon Natale giocattoli Gig,"Cicapal, cicapal, cicacicapal, cicapal, cicapal, cicacicapal Playmobil, ilvierau e Playmobil Transformer, Vazigig Cicapal, cicapal, cicacicapal Gampe, gampe, gampe, o bebe Vezbimia, cicapal, cicapal, cicacicapal",-0.5936067627697457
3MNTEEztX_g.s0,zaini Seven,"Three two one three two three four one two wo Seven, no frontiers.",-3.4848810011340725
3MNTEEztX_g.s1,Fanta,Share the fun Share the fun,-0.8447107474009196
3owdeJK5VZE.s11,abbigliamento maschile Facis,"Quando la vita ti sta bella, facis",-0.9039890425545829
3owdeJK5VZE.s21,tonno Rio Mare,e la tua libertà. Rio Mare così tenero,-0.580033402693899
3q63Qwj4E2I.s14,linea viso My Time,My Time My Time My Time My Time My Time My Time,-0.8284057889665876
